"","gridID","Patrol.ID","Type","Patrol.Start.Date","Patrol.End.Date","Station","Team","Mandate","Armed","Patrol.Leg.ID","Leader","Patrol.Transport.Type","Waypoint.ID","Waypoint.Date","Waypoint.Time","Last.Modified","Last.Modified.By","Observation.Category.0","Observation.Category.1","Position.Type","Species","Total.number","river_distance","road_distance","water_distance","Number","Dam","North","East","Elevation","Storage.Estimate","Description","Estimated.Class","Permit.Needed","Freeboard..m.","Width..m.","Fetch..m.","Spillway.Width..m.","Height..m.","Water.Depth..m.","Approximate.Volume..m.3."
"270",708,"SMART_001837","Ground","12-Jan-20","12-Jan-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Motorbike",2,"12-Jan-20","11:54:38","1/24/20 16:29","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",15,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"271",708,"SMART_001866","Ground","22-Jan-20","22-Jan-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Foot",3,"22-Jan-20","9:52:41","1/31/20 7:42","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",5,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"272",708,"SMART_001974","Ground","29-Feb-20","29-Feb-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Motorbike",3,"29-Feb-20","18:12:47","3/2/20 8:35","David Hewett","Wildlife Sightings","Live animals",NA," Elephant",16,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"273",708,"SMART_001866","Ground","22-Jan-20","22-Jan-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Foot",3,"22-Jan-20","9:52:41","1/31/20 7:42","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",29,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"274",723,"SMART_002078","Ground","13-Mar-20","13-Mar-20","MRL","NPR 1","Research","No",1,"Joseph Nkainduri","Vehicle",4,"13-Mar-20","11:06:46","3/30/20 10:12","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",3,1206.02965774536,119.585508388281,1839.91185394287,23,"Airstrip Dam",38374,260132,"1792","1,800","Curved Wall Requires Desilting","A","0.5",100,54,5,2.5,2,"1,800",""
"275",723,"SMART_002078","Ground","13-Mar-20","13-Mar-20","MRL","NPR 1","Research","No",1,"Joseph Nkainduri","Vehicle",4,"13-Mar-20","11:06:46","3/30/20 10:12","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",23,1206.02965774536,119.585508388281,1839.91185394287,23,"Airstrip Dam",38374,260132,"1792","1,800","Curved Wall Requires Desilting","A","0.5",100,54,5,2.5,2,"1,800",""
"276",726,"SMART_001915","Ground","5-Feb-20","5-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",4,"5-Feb-20","14:56:38","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",3,127.06303822279,94.5068379968405,659.351322174072,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"277",726,"SMART_001915","Ground","5-Feb-20","5-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",4,"5-Feb-20","14:56:38","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",19,127.06303822279,94.5068379968405,659.351322174072,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"278",726,"SMART_001915","Ground","5-Feb-20","5-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",4,"5-Feb-20","14:56:38","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",8,127.06303822279,94.5068379968405,659.351322174072,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"279",728,"SMART_001881","Ground","3-Feb-20","3-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",4,"3-Feb-20","11:27:01","2/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",6,312.923448905945,179.144612165689,261.365822608471,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
